goes_max_proton,fluence
3.97E+00,7544.72223   	# 2011-06-07 6:28:30
1.48E+00,1601.572499  	# 2011-08-04 3:59:30
2.50E+00,8349.467742  	# 2011-08-09 8:08:30
4.27E-01,419.5300937  	# 2011-09-06 22:30:30
2.20E+00,949.4281425  	# 2012-01-23 3:52:30
1.05E+01,12071.58853  	# 2012-01-27 18:23:30
# 5.68E+01,447.2016616	# 2012-03-07 0:21:30
3.20E+00,8260.240823  	# 2012-03-13 17:28:30
2.36E+01,6059.888417  	# 2012-05-17 1:36:30
3.30E-01,600.962976   	# 2012-07-06 23:05:30
7.17E-01,44.12122143  	# 2012-07-08 16:46:30
7.29E-01,1846.786531  	# 2012-07-19 5:29:30
8.17E-01,18.60682125  	# 2012-07-23 2:23:30
1.97E+00,1090.022209  	# 2013-04-11 7:09:30
3.58E+00,2147.750155  	# 2013-05-22 13:24:30
2.85E-01,8.208833298  	# 2013-11-02 4:47:30
3.08E-01,354.4207474  	# 2013-12-28 17:33:30
3.83E+00,1601.846186  	# 2014-01-06 7:57:30
3.91E+00,6397.100801  	# 2014-01-07 18:08:30
5.56E-01,4234.37336   	# 2014-02-20 7:58:30
8.63E-01,154.7374939  	# 2014-02-25 0:59:30
6.84E-01,177.1650672  	# 2014-04-18 12:57:30
6.88E-01,38.3870732   	# 2014-09-01 11:22:30
8.53E-01,1229.013757  	# 2014-09-10 17:31:30
1.96E+00,196.2213961  	# 2015-10-29 2:40:30
5.01E-01,1989.279858  	# 2017-09-06 12:03:30
