goes_max_proton,fluence,fluence_old
3.883,5095.21803,7544.72223   	# 2011-06-07 6:16:00
1.423,1141.716979,1601.572499 	# 2011-08-04 3:41:00
2.409,2123.406,8349.467745    	# 2011-08-09 7:48:00
0.394,1096.665143,419.5300939 	# 2011-09-06 22:12:00
2.141,297.0208799,949.4281428 	# 2012-01-23 3:38:00
10.349,2851.722344,12071.58854	# 2012-01-27 17:37:00
55.927,989.7022822,447.2016618	# 2012-03-07 0:02:00
3.031,1888.594953,8260.240826 	# 2012-03-13 17:12:00
22.633,2922.10048,6059.88842  	# 2012-05-17 1:25:00
0.297,374.7303743,600.9629762 	# 2012-07-06 23:01:00
0.679,42.15188679,44.12122144 	# 2012-07-08 16:23:00
0.646,210.1310095,1846.786532 	# 2012-07-19 4:17:00
0.737,20.91294136,18.60682125 	# 2012-07-23 1:50:00
1.884,959.8479252,1090.02221  	# 2013-04-11 10:55:00
3.420,459.7177534,2147.750156 	# 2013-05-22 13:08:00
0.241,107.4837869,354.4207476 	# 2013-12-28 17:16:00
3.838,878.9675146,1601.846187 	# 2014-01-06 8:00:00
0.773,129.503863,154.737494   	# 2014-02-25 13:55:00
0.650,343.8351828,177.1650673 	# 2014-04-18 15:25:00
0.638,32.68703127,38.38707321 	# 2014-09-01 21:58:00
0.837,685.9422899,1229.013757 	# 2014-09-10 17:21:00
