goes_max_proton,fluence,uncorr_fluence
3.883,3413.045792,8663.885 	#	2011-06-07 6:16:00
1.423,837.2303819,3155.715 	#	2011-08-04 3:41:00
2.409,1379.578836,1379.579 	#	2011-08-09 7:48:00
0.394,662.0185152,3310.093 	#	2011-09-06 22:12:00
0.167,66.42341234,2907.302 	#	2011-09-22 10:29:00
2.141,211.1615258,1315.699 	#	2012-01-23 3:38:00
10.349,2056.768808,5853.880	#	2012-01-27 17:37:00
55.927,562.56951,7053.756  	#	2012-03-07 0:02:00
3.031,1274.57092,4608.064  	#	2012-03-13 17:12:00
22.633,2590.326836,4582.886	#	2012-05-17 1:25:00
0.297,367.178089,5112.249  	#	2012-07-06 23:01:00
0.679,30.98537,398.043     	#	2012-07-08 16:23:00
0.646,154.4621624,1295.106 	#	2012-07-19 4:17:00
0.737,15.82526874,775.438  	#	2012-07-23 1:50:00
1.884,576.6226736,6431.561 	#	2013-04-11 10:55:00
3.420,474.8369474,2739.444 	#	2013-05-22 13:08:00
0.143,7.838144962,238.159  	#	2013-09-29 21:43:00
0.148,77.09629022,2947.450 	#	2013-10-28 4:32:00
0.233,4.25300786 ,149.510  	#	2013-11-02 4:48:00
0.241,73.10144108,1051.536 	#	2013-12-28 17:16:00
3.838,541.6137186,1541.516 	#	2014-01-06 8:00:00
#     ,                    	,	#	2014-01-07 18:04:00
0.773,113.8051553,3195.299 	#	2014-02-25 13:55:00
0.650,237.7854996,2213.234 	#	2014-04-18 15:25:00
0.638,17.80829549,1754.802 	#	2014-09-01 21:58:00
0.837,509.3730575,12107.406	#	2014-09-10 17:21:00
1.883,140.0352656,937.159  	#	2015-10-29
