start_time,end_time,t3_duration,t3_max_time,t3_max_int
2012-01-06 11:17:30,2012-01-06 11:48:30,31.0,2012-01-06 11:24:30,51.05
2012-01-23 03:47:30,2012-01-23 05:05:30,78.0,2012-01-23 03:56:30,21.969
2012-01-27 18:17:30,2012-01-27 19:23:30,66.0,2012-01-27 18:27:30,116.329
2012-02-18 05:11:30,2012-02-18 05:41:30,30.0,2012-02-18 05:18:30,31.215
2012-03-07 00:18:30,2012-03-07 01:30:30,72.0,2012-03-07 00:42:30,172.352
2012-03-13 17:23:30,2012-03-13 18:26:30,63.0,2012-03-13 17:33:30,99.157
2012-03-19 22:01:30,2012-03-19 22:39:30,38.0,2012-03-19 22:03:30,55.265
2012-03-21 07:56:30,2012-03-21 08:26:30,30.0,2012-03-21 08:03:30,47.879
2012-03-26 22:37:30,2012-03-26 23:47:30,70.0,2012-03-26 23:08:30,31.052
2012-03-27 02:56:30,2012-03-27 03:26:30,30.0,2012-03-27 03:03:30,16.847
2012-03-28 21:48:30,2012-03-28 22:22:30,34.0,2012-03-28 22:03:30,31.753
2012-04-15 08:43:30,2012-04-15 09:15:30,32.0,2012-04-15 08:53:30,22.343
2012-04-18 12:43:30,2012-04-18 13:15:30,32.0,2012-04-18 12:51:30,25.996
2012-04-19 11:11:30,2012-04-19 11:41:30,30.0,2012-04-19 11:17:30,56.342
2012-05-07 14:09:30,2012-05-07 14:51:30,42.0,2012-05-07 14:16:30,19.346
2012-05-10 15:30:30,2012-05-10 16:01:30,31.0,2012-05-10 15:31:30,22.112
2012-05-17 01:32:30,2012-05-17 02:39:30,67.0,2012-05-17 01:38:30,83.872
2012-05-26 20:49:30,2012-05-26 21:35:30,46.0,2012-05-26 20:52:30,39.171
2012-06-06 19:50:30,2012-06-06 20:41:30,51.0,2012-06-06 20:11:30,71.727
2012-06-08 07:14:30,2012-06-08 07:44:30,30.0,2012-06-08 07:19:30,123.105
2012-06-28 16:08:30,2012-06-28 16:41:30,33.0,2012-06-28 16:18:30,112.922
2012-06-29 00:26:30,2012-06-29 01:01:30,35.0,2012-06-29 00:38:30,13.366
2012-07-01 07:11:30,2012-07-01 07:49:30,38.0,2012-07-01 07:27:30,71.918
2012-07-01 19:14:30,2012-07-01 19:45:30,31.0,2012-07-01 19:17:30,72.682
2012-07-03 20:40:30,2012-07-03 21:11:30,31.0,2012-07-03 20:44:30,35.426
2012-07-04 16:41:30,2012-07-04 17:11:30,30.0,2012-07-04 16:41:30,86.6
2012-07-05 21:42:30,2012-07-05 22:21:30,39.0,2012-07-05 21:49:30,29.653
2012-07-06 23:05:30,2012-07-06 23:54:30,49.0,2012-07-06 23:12:30,105.301
2012-07-08 16:30:30,2012-07-08 17:00:30,30.0,2012-07-08 16:39:30,17.185
2012-07-12 15:49:30,2012-07-12 16:21:30,32.0,2012-07-12 15:52:30,31.543
2012-07-12 16:42:30,2012-07-12 17:26:30,44.0,2012-07-12 16:44:30,24.15
2012-07-16 14:20:30,2012-07-16 14:50:30,30.0,2012-07-16 14:27:30,9.848
2012-07-17 14:32:30,2012-07-17 15:10:30,38.0,2012-07-17 14:47:30,24.224
2012-07-19 05:27:30,2012-07-19 06:35:30,68.0,2012-07-19 05:34:30,24.959
2012-07-23 02:14:30,2012-07-23 03:00:30,46.0,2012-07-23 02:40:30,22.067
2012-07-27 17:11:30,2012-07-27 17:49:30,38.0,2012-07-27 17:25:30,121.109
2012-07-28 21:08:30,2012-07-28 21:40:30,32.0,2012-07-28 21:14:30,50.901
2012-07-31 22:01:30,2012-07-31 22:36:30,35.0,2012-07-31 22:04:30,159.957
2012-08-13 04:08:30,2012-08-13 04:49:30,41.0,2012-08-13 04:12:30,148.783
2012-08-13 09:24:30,2012-08-13 09:59:30,35.0,2012-08-13 09:29:30,45.085
2012-08-13 12:36:30,2012-08-13 13:34:30,58.0,2012-08-13 12:42:30,165.948
2012-08-13 23:54:30,2012-08-14 00:55:30,61.0,2012-08-14 00:34:30,31.063
2012-08-17 18:20:30,2012-08-17 18:54:30,34.0,2012-08-17 18:34:30,6.919
2012-08-18 23:05:30,2012-08-18 23:41:30,36.0,2012-08-18 23:24:30,53.575
2012-08-31 19:51:30,2012-08-31 20:38:30,47.0,2012-08-31 20:04:30,57.394
2012-09-02 18:03:30,2012-09-02 18:40:30,37.0,2012-09-02 18:14:30,36.388
2012-09-03 16:31:30,2012-09-03 17:04:30,33.0,2012-09-03 16:38:30,49.151
2012-09-14 13:13:30,2012-09-14 13:46:30,33.0,2012-09-14 13:17:30,43.94
2012-09-20 14:59:30,2012-09-20 15:42:30,43.0,2012-09-20 15:03:30,25.338
2012-09-27 23:26:30,2012-09-28 00:49:30,83.0,2012-09-28 00:09:30,42.567
2012-11-08 10:46:30,2012-11-08 11:18:30,32.0,2012-11-08 10:53:30,10.702
2012-11-15 22:03:30,2012-11-15 22:36:30,33.0,2012-11-15 22:08:30,22.412
2012-11-16 12:43:30,2012-11-16 13:15:30,32.0,2012-11-16 12:48:30,20.582
2012-11-18 03:54:30,2012-11-18 04:45:30,51.0,2012-11-18 04:09:30,114.962
2012-11-20 12:34:30,2012-11-20 13:06:30,32.0,2012-11-20 12:46:30,21.893
2012-11-24 13:36:30,2012-11-24 14:25:30,49.0,2012-11-24 13:40:30,105.499
2012-12-07 05:17:30,2012-12-07 05:47:30,30.0,2012-12-07 05:21:30,14.754
2012-12-20 21:50:30,2012-12-20 22:38:30,48.0,2012-12-20 21:58:30,42.467
