start_time,end_time,t3_duration,t3_max_time,t3_max_int
2014-01-01 07:15:30,2014-01-01 07:51:30,36.0,2014-01-01 07:28:30,32.261
2014-01-06 07:47:30,2014-01-06 08:38:30,51.0,2014-01-06 07:51:30,46.401
2014-01-07 18:04:30,2014-01-07 19:22:30,78.0,2014-01-07 18:25:30,141.076
2014-01-26 02:28:30,2014-01-26 03:07:30,39.0,2014-01-26 02:30:30,13.874
2014-01-26 10:06:30,2014-01-26 10:44:30,38.0,2014-01-26 10:12:30,108.391
2014-01-28 15:26:30,2014-01-28 16:00:30,34.0,2014-01-28 15:30:30,34.386
2014-02-14 16:37:30,2014-02-14 17:12:30,35.0,2014-02-14 16:54:30,54.585
2014-02-16 09:24:30,2014-02-16 10:09:30,45.0,2014-02-16 09:26:30,80.016
2014-02-17 02:52:30,2014-02-17 03:38:30,46.0,2014-02-17 02:57:30,150.224
2014-02-20 07:51:30,2014-02-20 08:40:30,49.0,2014-02-20 07:56:30,58.775
2014-02-25 00:47:30,2014-02-25 01:33:30,46.0,2014-02-25 01:01:30,79.045
2014-03-05 04:31:30,2014-03-05 05:06:30,35.0,2014-03-05 04:35:30,23.832
2014-03-28 23:20:30,2014-03-29 00:23:30,63.0,2014-03-28 23:55:30,42.927
2014-03-29 17:47:30,2014-03-29 18:28:30,41.0,2014-03-29 17:52:30,99.641
2014-04-17 22:06:30,2014-04-17 22:42:30,36.0,2014-04-17 22:10:30,16.663
2014-04-18 12:48:30,2014-04-18 13:20:30,32.0,2014-04-18 12:58:30,76.867
2014-04-20 08:13:30,2014-04-20 08:45:30,32.0,2014-04-20 08:27:30,27.253
2014-04-20 13:38:30,2014-04-20 14:15:30,37.0,2014-04-20 13:44:30,41.203
2014-05-05 12:16:30,2014-05-05 12:57:30,41.0,2014-05-05 12:33:30,16.915
2014-05-06 17:14:30,2014-05-06 17:50:30,36.0,2014-05-06 17:23:30,18.912
2014-05-07 16:07:30,2014-05-07 16:43:30,36.0,2014-05-07 16:17:30,23.904
2014-05-29 08:50:30,2014-05-29 09:22:30,32.0,2014-05-29 08:57:30,50.727
2014-06-09 12:31:30,2014-06-09 13:01:30,30.0,2014-06-09 12:34:30,9.996
2014-06-12 21:50:30,2014-06-12 22:52:30,62.0,2014-06-12 22:04:30,17.856
2014-06-20 11:11:30,2014-06-20 11:41:30,30.0,2014-06-20 11:13:30,18.853
2014-07-28 14:02:30,2014-07-28 14:33:30,31.0,2014-07-28 14:10:30,11.275
2014-08-01 18:02:30,2014-08-01 18:50:30,48.0,2014-08-01 18:15:30,57.571
2014-08-03 03:08:30,2014-08-03 03:43:30,35.0,2014-08-03 03:15:30,54.14
2014-08-04 02:48:30,2014-08-04 03:20:30,32.0,2014-08-04 02:52:30,54.218
2014-08-21 08:49:30,2014-08-21 09:32:30,43.0,2014-08-21 08:52:30,89.616
2014-08-22 00:04:30,2014-08-22 00:37:30,33.0,2014-08-22 00:08:30,85.521
2014-08-22 10:16:30,2014-08-22 11:00:30,44.0,2014-08-22 10:19:30,67.136
2014-08-25 14:59:30,2014-08-25 15:33:30,34.0,2014-08-25 15:06:30,26.761
2014-08-26 09:29:30,2014-08-26 10:07:30,38.0,2014-08-26 09:37:30,15.106
2014-09-01 11:05:30,2014-09-01 11:44:30,39.0,2014-09-01 11:27:30,82.459
2014-09-09 00:01:30,2014-09-09 00:42:30,41.0,2014-09-09 00:08:30,34.623
2014-09-10 17:31:30,2014-09-10 18:58:30,87.0,2014-09-10 17:43:30,186.193
2014-09-15 18:16:30,2014-09-15 18:54:30,38.0,2014-09-15 18:20:30,79.84
2014-09-22 06:24:30,2014-09-22 06:55:30,31.0,2014-09-22 06:43:30,8.176
2014-09-24 20:53:30,2014-09-24 21:48:30,55.0,2014-09-24 21:02:30,85.257
2014-11-07 17:22:30,2014-11-07 18:03:30,41.0,2014-11-07 17:32:30,21.543
2014-12-05 06:04:30,2014-12-05 06:38:30,34.0,2014-12-05 06:10:30,34.865
2014-12-13 14:14:30,2014-12-13 15:34:30,80.0,2014-12-13 14:47:30,96.296
2014-12-17 04:26:30,2014-12-17 04:58:30,32.0,2014-12-17 04:40:30,105.98
2014-12-26 21:33:30,2014-12-26 22:26:30,53.0,2014-12-26 21:35:30,43.838
