0,1,2,3,4
20110321,none,none,none,none
20110405,none,none,none,none
20110607,20110608,none,none,none
20110804,20110805,none,none,none
20110809,none,none,none,none
20110906,20110907,none,none,none
20110923,none,none,none,none
20111104,none,none,none,none
20120123,20120124,none,none,none
20120127,20120128,20120129,none,none
20120307,20120308,20120309,20120310,20120311
20120313,20120314,none,none,none
20120517,20120518,none,none,none
20120707,20120708,20120709,none,none
20120712,none,none,none,none
20120717,none,none,none,none
20120719,none,none,none,none
20120723,20120724,20120725,none,none
20120928,none,none,none,none
20130411,20130412,none,none,none
20130522,20130523,20130524,none,none
20130930,none,none,none,none
20131029,20131030,none,none,none
20131102,none,none,none,none
20131228,20131229,none,none,none
20140106,20140107,20140108,20140109,none
20140220,none,none,none,none
20140225,20140226,20140227,20140228,none
20140418,20140419,none,none,none
20140625,none,none,none,none
20140902,20140903,20140904,20140905,20140906
20140910,20140911,20140912,none,none
20141214,none,none,none,none
20151029,none,none,none,none
20160526,none,none,none,none
20160608,none,none,none,none
20170613,none,none,none,none
20170721,none,none,none,none
20170906,20170907,20170908,none,none
20170910,20170911,20170912,20170913,20170914
