0,1,2,3,4
20110321,none,none,none,none
20110607,20110608,none,none,none
20110804,none,none,none,none
20110809,none,none,none,none
20110907,none,none,none,none
20120123,20120124,none,none,none
20120127,20120128,20120129,none,none
20120307,20120308,20120309,20120310,20120311
20120313,20120314,none,none,none
20120517,20120518,none,none,none
20120707,20120708,20120709,none,none
20120712,none,none,none,none
20120719,none,none,none,none
20120723,20120724,20120725,none,none
20130411,20130412,none,none,none
20130522,20130523,20130524,none,none
20131102,none,none,none,none
20131228,none,none,none,none
20140106,20140107,20140108,20140109,none
20140220,none,none,none,none
20140225,20140226,20140227,none,none
20140418,none,none,none,none
20140902,20140903,20140904,20140905,20140906
20140910,20140911,none,none,none
20151029,none,none,none,none
20170906,none,none,none,none
20170910,20170911,20170912,20170913,20170914
